	1	2	3	4	5	score	sum
pups	0	0	2	0	0	0.3807970779778823	2
evr	1	0	0	1	0	-0.1224593312018546	2
compltetely	0	0	0	0	2	0.3807970779778823	2
pledge	1	0	0	1	0	-0.1224593312018546	2
ungrounded	2	0	0	0	0	0.3807970779778823	2
lethal	0	0	1	0	1	0.0	2
hyde	0	0	1	0	1	0.0	2
poconos	0	0	1	0	1	0.0	2
hinders	2	0	0	0	0	0.3807970779778823	2
buydig	0	0	0	1	1	0.1224593312018546	2
guzzler	1	0	0	0	1	-0.2310585786300049	2
hypothetically	0	0	1	0	1	0.0	2
fda	0	0	0	0	2	0.3807970779778823	2
unlighted	0	0	1	1	0	0.1224593312018546	2
llamo	0	0	0	0	2	0.3807970779778823	2
conclusive	1	0	0	0	1	-0.2310585786300049	2
backlighted	0	0	1	1	0	0.1224593312018546	2
bibim	0	2	0	0	0	0.3807970779778823	2
ranting	0	0	0	0	2	0.3807970779778823	2
prise	0	0	0	2	0	0.3807970779778823	2
workday	0	0	0	1	1	0.1224593312018546	2
visioneers	1	1	0	0	0	0.1224593312018546	2
fumoto	1	0	0	0	1	-0.2310585786300049	2
undeserving	0	0	0	1	1	0.1224593312018546	2
pcfw	0	0	2	0	0	0.3807970779778823	2
genres	0	0	0	0	2	0.3807970779778823	2
kamikaze	0	0	0	1	1	0.1224593312018546	2
prouct	1	0	0	1	0	-0.1224593312018546	2
cio	0	0	0	0	2	0.3807970779778823	2
procrastinate	1	0	0	0	1	-0.2310585786300049	2
bubblewrap	0	0	1	0	1	0.0	2
parser	0	0	2	0	0	0.3807970779778823	2
quickbook	0	1	0	0	1	-0.1224593312018546	2
rebal	0	0	0	0	2	0.3807970779778823	2
comfidence	0	0	0	1	1	0.1224593312018546	2
foley	0	0	0	0	2	0.3807970779778823	2
purgatory	1	0	0	0	1	-0.2310585786300049	2
laf	0	0	0	1	1	0.1224593312018546	2
pacman	1	0	0	1	0	-0.1224593312018546	2
cheerleader	0	0	0	1	1	0.1224593312018546	2
jabbing	0	2	0	0	0	0.3807970779778823	2
entourage	1	0	0	0	1	-0.2310585786300049	2
habitat	1	0	0	1	0	-0.1224593312018546	2
roald	0	0	2	0	0	0.3807970779778823	2
goodnight	0	0	1	0	1	0.0	2
proximal	0	0	0	2	0	0.3807970779778823	2
fewer	0	0	0	1	1	0.1224593312018546	2
unfixable	1	0	0	1	0	-0.1224593312018546	2
unfamilliar	0	0	1	0	1	0.0	2
egnos	0	1	0	1	0	0.0	2
quack	0	0	0	2	0	0.3807970779778823	2
granularly	0	0	0	2	0	0.3807970779778823	2
nti	1	0	0	0	1	-0.2310585786300049	2
renaissance	0	0	0	0	2	0.3807970779778823	2
pillar	0	0	1	0	1	0.0	2
blurps	1	0	1	0	0	0.0	2
niceely	0	0	1	0	1	0.0	2
remocon	0	0	2	0	0	0.3807970779778823	2
undershirt	0	0	0	0	2	0.3807970779778823	2
wrangler	0	0	0	1	1	0.1224593312018546	2
jibe	0	1	1	0	0	0.1224593312018546	2
pocketdivx	0	0	0	1	1	0.1224593312018546	2
xone	0	0	0	2	0	0.3807970779778823	2
cocoon	0	0	0	1	1	0.1224593312018546	2
nessacary	0	0	0	2	0	0.3807970779778823	2
graze	0	1	1	0	0	0.1224593312018546	2
buoght	0	0	0	2	0	0.3807970779778823	2
katie	1	0	0	0	1	-0.2310585786300049	2
exhilarate	0	0	1	0	1	0.0	2
pantallas	0	0	0	0	2	0.3807970779778823	2
quiality	0	0	1	1	0	0.1224593312018546	2
fisherprice	0	0	0	1	1	0.1224593312018546	2
crc	0	0	0	0	2	0.3807970779778823	2
wrinkled	0	0	0	0	2	0.3807970779778823	2
jfs	0	1	0	1	0	0.0	2
virtualy	0	0	0	0	2	0.3807970779778823	2
jfk	0	0	1	0	1	0.0	2
blacklight	0	0	2	0	0	0.3807970779778823	2
qtek	0	0	0	1	1	0.1224593312018546	2
garrisonville	0	0	0	0	2	0.3807970779778823	2
planar	0	1	0	0	1	-0.1224593312018546	2
whooping	2	0	0	0	0	0.3807970779778823	2
replete	0	1	0	0	1	-0.1224593312018546	2
pbase	0	2	0	0	0	0.3807970779778823	2
compressible	0	0	0	1	1	0.1224593312018546	2
conviently	0	1	0	0	1	-0.1224593312018546	2
quo	0	0	0	0	2	0.3807970779778823	2
flashights	1	1	0	0	0	0.1224593312018546	2
garantee	2	0	0	0	0	0.3807970779778823	2
firmwre	2	0	0	0	0	0.3807970779778823	2
unforseen	0	0	0	0	2	0.3807970779778823	2
flashback	1	0	1	0	0	0.0	2
wrack	0	0	0	1	1	0.1224593312018546	2
crosby	0	0	0	2	0	0.3807970779778823	2
glen	0	0	0	0	2	0.3807970779778823	2
healthclub	0	0	0	2	0	0.3807970779778823	2
broaden	0	0	2	0	0	0.3807970779778823	2
resistente	0	0	0	0	2	0.3807970779778823	2
espec	1	0	0	1	0	-0.1224593312018546	2
foolproff	0	0	2	0	0	0.3807970779778823	2
connetion	1	0	0	0	1	-0.2310585786300049	2
carpol	0	0	0	0	2	0.3807970779778823	2
prodockt	0	0	2	0	0	0.3807970779778823	2
comliant	0	0	0	2	0	0.3807970779778823	2
expressed	2	0	0	0	0	0.3807970779778823	2
unlimted	1	0	0	1	0	-0.1224593312018546	2
cotta	0	0	0	2	0	0.3807970779778823	2
lang	0	0	0	1	1	0.1224593312018546	2
unfornate	2	0	0	0	0	0.3807970779778823	2
wafer	1	0	0	1	0	-0.1224593312018546	2
computational	0	0	1	0	1	0.0	2
elipticals	0	0	1	0	1	0.0	2
wizz	1	0	0	0	1	-0.2310585786300049	2
engadget	0	1	0	0	1	-0.1224593312018546	2
baptism	1	0	0	0	1	-0.2310585786300049	2
permanence	0	0	0	2	0	0.3807970779778823	2
pidgin	1	0	0	0	1	-0.2310585786300049	2
lensmateonline	0	0	2	0	0	0.3807970779778823	2
perturbed	0	0	0	0	2	0.3807970779778823	2
potlights	0	0	2	0	0	0.3807970779778823	2
preexist	0	0	0	1	1	0.1224593312018546	2
refold	1	0	0	0	1	-0.2310585786300049	2
rtated	0	0	2	0	0	0.3807970779778823	2
resecure	0	1	0	0	1	-0.1224593312018546	2
baud	1	0	0	0	1	-0.2310585786300049	2
forested	0	0	0	0	2	0.3807970779778823	2
poring	2	0	0	0	0	0.3807970779778823	2
cshrc	0	0	0	2	0	0.3807970779778823	2
wonderd	0	0	0	0	2	0.3807970779778823	2
channles	0	0	0	0	2	0.3807970779778823	2
fetures	0	1	0	0	1	-0.1224593312018546	2
vortex	1	0	0	0	1	-0.2310585786300049	2
rateings	1	0	0	0	1	-0.2310585786300049	2
underclothes	0	0	0	1	1	0.1224593312018546	2
pathytic	0	0	0	2	0	0.3807970779778823	2
gpsmagazine	1	0	0	0	1	-0.2310585786300049	2
pciex	0	0	0	0	2	0.3807970779778823	2
friberg	0	0	0	0	2	0.3807970779778823	2
reserching	1	0	0	0	1	-0.2310585786300049	2
chronicle	0	0	0	0	2	0.3807970779778823	2
underneith	0	0	2	0	0	0.3807970779778823	2
grandiose	0	0	1	0	1	0.0	2
puzzled	0	0	0	2	0	0.3807970779778823	2
jetson	0	0	0	0	2	0.3807970779778823	2
hacen	2	0	0	0	0	0.3807970779778823	2
rootkits	1	1	0	0	0	0.1224593312018546	2
launcher	0	1	0	0	1	-0.1224593312018546	2
rosso	0	0	0	0	2	0.3807970779778823	2
bubbly	0	0	0	2	0	0.3807970779778823	2
umds	0	0	0	1	1	0.1224593312018546	2
zens	1	0	0	0	1	-0.2310585786300049	2
blather	0	0	0	1	1	0.1224593312018546	2
reauthoring	0	0	0	2	0	0.3807970779778823	2
recored	0	0	2	0	0	0.3807970779778823	2
lightening	0	0	0	0	2	0.3807970779778823	2
qualilty	0	0	0	0	2	0.3807970779778823	2
gorey	0	0	1	1	0	0.1224593312018546	2
buenas	0	0	0	1	1	0.1224593312018546	2
windowsmediaplayer	0	1	0	0	1	-0.1224593312018546	2
formulation	1	0	0	0	1	-0.2310585786300049	2
verbose	0	0	1	0	1	0.0	2
gratuitous	0	0	0	1	1	0.1224593312018546	2
pleomax	1	0	0	0	1	-0.2310585786300049	2
labtops	0	0	0	0	2	0.3807970779778823	2
rerecord	1	0	0	0	1	-0.2310585786300049	2
pulp	0	0	0	0	2	0.3807970779778823	2
warrent	0	1	0	1	0	0.0	2
coziness	0	0	0	0	2	0.3807970779778823	2
wz	0	0	0	2	0	0.3807970779778823	2
reliant	0	1	1	0	0	0.1224593312018546	2
electromagnetic	0	1	1	0	0	0.1224593312018546	2
harpsichord	0	0	0	1	1	0.1224593312018546	2
kotor	0	0	0	0	2	0.3807970779778823	2
himd	0	0	0	0	2	0.3807970779778823	2
powerdown	0	0	0	1	1	0.1224593312018546	2
hollywierd	2	0	0	0	0	0.3807970779778823	2
edgy	0	0	0	0	2	0.3807970779778823	2
wo	1	1	0	0	0	0.1224593312018546	2
legislation	1	0	0	0	1	-0.2310585786300049	2
valentines	0	0	0	0	2	0.3807970779778823	2
wc	0	0	0	0	2	0.3807970779778823	2
rebuilt	0	1	1	0	0	0.1224593312018546	2
ecstasy	0	0	0	1	1	0.1224593312018546	2
kelby	0	0	0	0	2	0.3807970779778823	2
haystack	0	1	0	0	1	-0.1224593312018546	2
jyrating	0	0	0	2	0	0.3807970779778823	2
wetsuit	0	0	0	2	0	0.3807970779778823	2
nudity	0	0	0	1	1	0.1224593312018546	2
evotl	0	0	0	0	2	0.3807970779778823	2
cloned	2	0	0	0	0	0.3807970779778823	2
connective	0	0	1	1	0	0.1224593312018546	2
juliet	0	0	0	1	1	0.1224593312018546	2
cheapist	0	0	0	2	0	0.3807970779778823	2
cheapish	0	0	0	1	1	0.1224593312018546	2
pumpkin	0	0	0	0	2	0.3807970779778823	2
kelty	0	0	0	0	2	0.3807970779778823	2
extremley	0	1	0	0	1	-0.1224593312018546	2
curling	0	2	0	0	0	0.3807970779778823	2
uncapped	0	1	0	0	1	-0.1224593312018546	2
embroidery	0	0	0	0	2	0.3807970779778823	2
chronological	1	0	1	0	0	0.0	2
loderdale	2	0	0	0	0	0.3807970779778823	2
practicable	0	0	0	1	1	0.1224593312018546	2
recepiton	0	0	0	0	2	0.3807970779778823	2
paddded	0	0	0	2	0	0.3807970779778823	2
heftiness	0	0	0	1	1	0.1224593312018546	2
bower	0	2	0	0	0	0.3807970779778823	2
filtro	0	0	0	0	2	0.3807970779778823	2
harvey	0	0	0	1	1	0.1224593312018546	2
uncopyable	0	0	2	0	0	0.3807970779778823	2
hunger	1	1	0	0	0	0.1224593312018546	2
noton	1	1	0	0	0	0.1224593312018546	2
refreshes	0	0	0	1	1	0.1224593312018546	2
respiratory	1	0	1	0	0	0.0	2
crappier	0	0	1	0	1	0.0	2
berger	0	0	0	2	0	0.3807970779778823	2
buoyancy	0	0	0	1	1	0.1224593312018546	2
capcity	0	0	0	2	0	0.3807970779778823	2
comparitive	0	0	0	1	1	0.1224593312018546	2
kirk	0	1	0	0	1	-0.1224593312018546	2
upkeep	0	0	0	0	2	0.3807970779778823	2
wihout	0	0	0	1	1	0.1224593312018546	2
purhase	1	0	0	0	1	-0.2310585786300049	2
garlic	2	0	0	0	0	0.3807970779778823	2
unservicable	0	0	1	0	1	0.0	2
possesed	1	1	0	0	0	0.1224593312018546	2
requierment	0	0	0	2	0	0.3807970779778823	2
retractor	0	0	1	0	1	0.0	2
boxer	0	0	0	0	2	0.3807970779778823	2
preferance	0	0	0	2	0	0.3807970779778823	2
latop	0	0	0	0	2	0.3807970779778823	2
wised	0	0	0	0	2	0.3807970779778823	2
noxious	1	0	1	0	0	0.0	2
convenitent	0	0	0	2	0	0.3807970779778823	2
lik	0	0	1	0	1	0.0	2
prestigious	1	0	0	0	1	-0.2310585786300049	2
racecars	0	0	0	0	2	0.3807970779778823	2
forgetful	0	0	1	1	0	0.1224593312018546	2
rearrenge	0	0	0	2	0	0.3807970779778823	2
politically	0	1	0	0	1	-0.1224593312018546	2
wantz	0	0	0	2	0	0.3807970779778823	2
placeshifting	0	0	0	0	2	0.3807970779778823	2
holding	0	0	2	0	0	0.3807970779778823	2
buick	1	0	0	0	1	-0.2310585786300049	2
exageration	0	2	0	0	0	0.3807970779778823	2
rhett	0	0	0	1	1	0.1224593312018546	2
jabering	0	0	0	0	2	0.3807970779778823	2
gpsiii	0	1	0	1	0	0.0	2
happenned	2	0	0	0	0	0.3807970779778823	2
queda	0	0	0	1	1	0.1224593312018546	2
polisher	0	0	0	2	0	0.3807970779778823	2
closeby	0	0	0	0	2	0.3807970779778823	2
judgmental	1	0	0	1	0	-0.1224593312018546	2
plesant	0	0	0	1	1	0.1224593312018546	2
geotagging	0	0	0	0	2	0.3807970779778823	2
quietest	0	0	2	0	0	0.3807970779778823	2
council	0	0	0	0	2	0.3807970779778823	2
checkpoint	0	0	0	2	0	0.3807970779778823	2
placemats	0	0	0	0	2	0.3807970779778823	2
phlips	0	0	2	0	0	0.3807970779778823	2
jos	0	0	0	2	0	0.3807970779778823	2
viapoints	0	0	0	2	0	0.3807970779778823	2
gfx	0	0	0	1	1	0.1224593312018546	2
frannnnnnnnnnnkus	0	0	0	0	2	0.3807970779778823	2
bedrooom	0	0	0	0	2	0.3807970779778823	2
loosly	0	0	0	1	1	0.1224593312018546	2
lrya	0	0	0	2	0	0.3807970779778823	2
resituating	0	2	0	0	0	0.3807970779778823	2
rmvb	0	2	0	0	0	0.3807970779778823	2
refocus	0	0	1	0	1	0.0	2
pscan	0	0	0	0	2	0.3807970779778823	2
enbles	0	0	1	1	0	0.1224593312018546	2
bangle	0	0	0	0	2	0.3807970779778823	2
frusterated	1	0	0	0	1	-0.2310585786300049	2
rehearsle	0	0	1	1	0	0.1224593312018546	2
personalmente	0	0	0	0	2	0.3807970779778823	2
lambast	0	0	0	1	1	0.1224593312018546	2
nonpourus	0	2	0	0	0	0.3807970779778823	2
pmgnwpl	0	0	0	2	0	0.3807970779778823	2
baro	0	0	0	1	1	0.1224593312018546	2
potenial	0	0	0	0	2	0.3807970779778823	2
hitman	0	0	0	0	2	0.3807970779778823	2
lessened	0	0	0	2	0	0.3807970779778823	2
gamestop	0	0	0	0	2	0.3807970779778823	2
chapstick	0	0	0	0	2	0.3807970779778823	2
birdwatcher	0	0	0	0	2	0.3807970779778823	2
bupkis	2	0	0	0	0	0.3807970779778823	2
hora	0	0	0	1	1	0.1224593312018546	2
unilaterally	1	0	1	0	0	0.0	2
cleverness	0	0	0	0	2	0.3807970779778823	2
charcters	0	0	0	0	2	0.3807970779778823	2
unsavory	0	0	0	0	2	0.3807970779778823	2
uninstalltion	2	0	0	0	0	0.3807970779778823	2
pasar	0	0	0	1	1	0.1224593312018546	2
reckless	1	0	0	1	0	-0.1224593312018546	2
frisbee	0	2	0	0	0	0.3807970779778823	2
grammatically	1	0	0	0	1	-0.2310585786300049	2
coordinating	1	0	0	0	1	-0.2310585786300049	2
purifer	1	0	1	0	0	0.0	2
especiually	0	0	0	0	2	0.3807970779778823	2
returened	0	0	0	0	2	0.3807970779778823	2
litlle	0	0	0	1	1	0.1224593312018546	2
portableapps	0	0	0	1	1	0.1224593312018546	2
holga	0	0	0	1	1	0.1224593312018546	2
bigscreen	0	0	0	2	0	0.3807970779778823	2
