	1	2	3	4	5	score	sum
permenantly	2	0	0	0	0	0.3807970779778823	2
atrium	0	0	0	0	2	0.3807970779778823	2
helpdesk	1	0	0	0	1	-0.2310585786300049	2
texted	0	0	0	1	1	0.1224593312018546	2
freesoft	0	0	0	0	2	0.3807970779778823	2
percent	0	0	1	0	1	0.0	2
galactic	2	0	0	0	0	0.3807970779778823	2
collapsed	0	0	1	1	0	0.1224593312018546	2
massachusetts	0	0	0	0	2	0.3807970779778823	2
umph	0	1	0	1	0	0.0	2
svan	0	0	0	0	2	0.3807970779778823	2
loves	0	0	0	0	2	0.3807970779778823	2
sooooooo	0	0	1	0	1	0.0	2
agc	0	0	0	0	2	0.3807970779778823	2
quake	0	0	0	0	2	0.3807970779778823	2
sk	2	0	0	0	0	0.3807970779778823	2
havn	0	0	0	0	2	0.3807970779778823	2
unrivalled	0	0	0	2	0	0.3807970779778823	2
thta	0	0	1	0	1	0.0	2
ogle	0	0	0	1	1	0.1224593312018546	2
scracth	0	0	0	1	1	0.1224593312018546	2
everyway	1	0	0	0	1	-0.2310585786300049	2
sf5	0	0	0	2	0	0.3807970779778823	2
socal	0	0	0	0	2	0.3807970779778823	2
pretended	0	0	0	2	0	0.3807970779778823	2
opperate	0	0	1	0	1	0.0	2
monterey	0	1	0	0	1	-0.1224593312018546	2
accesss	1	0	0	0	1	-0.2310585786300049	2
unmount	0	0	0	2	0	0.3807970779778823	2
lorre	0	0	1	0	1	0.0	2
thoughtfulness	0	0	0	0	2	0.3807970779778823	2
detector	0	0	1	1	0	0.1224593312018546	2
packard	0	0	0	1	1	0.1224593312018546	2
fisted	0	0	0	0	2	0.3807970779778823	2
whimpy	0	0	0	0	2	0.3807970779778823	2
gdargaud	0	0	0	0	2	0.3807970779778823	2
unfortuntely	0	1	0	1	0	0.0	2
bolder	0	1	0	1	0	0.0	2
toned	0	0	0	2	0	0.3807970779778823	2
bolded	0	0	0	2	0	0.3807970779778823	2
hoodman	0	0	0	0	2	0.3807970779778823	2
wondrous	0	0	0	0	2	0.3807970779778823	2
approached	1	0	1	0	0	0.0	2
bubbly	0	0	0	2	0	0.3807970779778823	2
pismo	0	0	0	0	2	0.3807970779778823	2
looooved	0	0	0	0	2	0.3807970779778823	2
giddy	0	0	0	0	2	0.3807970779778823	2
alphanumeric	0	0	0	0	2	0.3807970779778823	2
superduper	0	0	0	0	2	0.3807970779778823	2
sexual	0	0	0	0	2	0.3807970779778823	2
palytex	0	2	0	0	0	0.3807970779778823	2
proform	0	0	0	0	2	0.3807970779778823	2
alexandria	1	0	0	0	1	-0.2310585786300049	2
ecost	0	0	0	1	1	0.1224593312018546	2
dixie	0	1	0	0	1	-0.1224593312018546	2
untrust	2	0	0	0	0	0.3807970779778823	2
hands	0	0	0	1	1	0.1224593312018546	2
s359	0	1	0	0	1	-0.1224593312018546	2
s350	0	0	0	1	1	0.1224593312018546	2
sidenote	0	1	0	0	1	-0.1224593312018546	2
zagging	0	0	1	0	1	0.0	2
kickstart	1	0	0	0	1	-0.2310585786300049	2
perfectionist	0	0	0	1	1	0.1224593312018546	2
nervious	0	0	0	0	2	0.3807970779778823	2
lewis	0	0	1	0	1	0.0	2
reverb	1	0	0	0	1	-0.2310585786300049	2
uncaring	0	1	0	1	0	0.0	2
trackball	0	1	0	0	1	-0.1224593312018546	2
tryed	0	0	0	0	2	0.3807970779778823	2
gfx	0	0	0	1	1	0.1224593312018546	2
surprize	0	0	1	0	1	0.0	2
roleplay	0	0	0	1	1	0.1224593312018546	2
biweekly	0	1	0	0	1	-0.1224593312018546	2
solitare	0	0	1	0	1	0.0	2
forwarded	1	0	0	0	1	-0.2310585786300049	2
handier	0	0	0	0	2	0.3807970779778823	2
dishwashing	0	0	1	0	1	0.0	2
fatter	0	1	0	0	1	-0.1224593312018546	2
heel	0	0	1	1	0	0.1224593312018546	2
atrac2	0	0	0	0	2	0.3807970779778823	2
wil	1	0	0	0	1	-0.2310585786300049	2
avaiable	0	0	0	0	2	0.3807970779778823	2
extrude	0	1	0	1	0	0.0	2
disembodied	0	0	0	1	1	0.1224593312018546	2
wiz	0	0	1	0	1	0.0	2
skirt	1	0	0	1	0	-0.1224593312018546	2
sate	2	0	0	0	0	0.3807970779778823	2
