	name	score	sum
25000	dye	3.0833900542185044	6
25001	ameriwood	3.0833900542185044	6
25002	er6s	3.0833900542185044	6
25003	profesional	3.0833900542185044	6
25004	compel	3.083491900799661	53
25005	apologize	3.0836482083524235	23
25006	alright	3.084852726732326	76
25007	incidentally	3.0873673875023817	31
25008	sleeper	3.0875121442786804	20
25009	operational	3.0907905958500312	46
25010	oled	3.0910055633595337	33
25011	strike	3.0910055633595337	33
25012	airplane	3.0918112282564114	43
25013	uploaded	3.09302884548751	49
25014	lane	3.0936111923668697	22
25015	compaired	3.0948133705312473	8
25016	intimidated	3.0948133705312473	8
25017	uploads	3.0948133705312473	8
25018	speaker	3.0948133705312477	26
25019	mpeg	3.097513977359422	35
25020	unnoticeable	3.0987079537402034	11
25021	whimsical	3.0987079537402034	11
25022	cannon	3.0987079537402034	11
25023	seattle	3.0999695319443616	25
25024	sizes	3.0999695319443625	25
25025	alleviate	3.1018627337783826	14
25026	compliment	3.1018627337783826	14
25027	nitpick	3.1018627337783826	14
25028	responsible	3.1031096772626303	57
25029	elapse	3.1060138900098977	16
25030	underwater	3.1060138900098977	16
25031	floor	3.1060138900098986	16
25032	intuitively	3.1066746727980594	24
25033	purchsed	3.1071700898576005	13
25034	antivirus	3.1135844841896483	62
25035	surface	3.1137863063507423	17
25036	upgradable	3.1137863063507423	17
25037	sp	3.1159114355535986	30
25038	faq	3.1159114355535986	30
25039	pet	3.1173963757791503	32
25040	wi	3.118229145920385	28
25041	cpu	3.1185910673510437	49
25042	iss	3.11896996201024	12
25043	painstakingly	3.1189699620102407	12
25044	pan	3.121056936404296	27
25045	havent	3.121056936404296	27
25046	laptops	3.121056936404296	27
25047	burton	3.121056936404296	27
25048	japanese	3.123196044521076	52
25049	waited	3.125154678085475	26
25050	maximize	3.1254195086869845	35
25051	se	3.1255040912572496	22
25052	aggressive	3.1255040912572496	22
25053	usefulness	3.1293981955200882	36
25054	stylus	3.1339463862644266	37
25055	nintendo	3.13779708653614	19
25056	mirror	3.1378617139334954	15
25057	repackaged	3.137861713933496	15
25058	graphical	3.138099895542123	21
25059	assorted	3.1403253318625888	8
25060	plane	3.1403253318625888	8
25061	php	3.1403253318625888	8
25062	iphoto	3.1403253318625888	8
25063	stan	3.1403253318625888	8
25064	transition	3.141309502396374	16
25065	realistically	3.141309502396374	16
25066	rise	3.141309502396374	16
25067	deduct	3.1413095023963744	16
25068	advertized	3.1450624080265954	13
25069	continously	3.1450624080265954	13
25070	eye	3.1450624080265954	13
25071	hollow	3.145996342529417	32
25072	lost	3.145996342529417	32
25073	switcher	3.1459963425294184	32
25074	qb	3.1479265663577234	28
25075	loosely	3.1479265663577234	28
25076	manhattan	3.1483839319768614	17
25077	distort	3.1485945552530588	120
25078	topographic	3.1532038920292904	20
25079	neighborhood	3.1570919848609735	36
25080	tick	3.1570919848609744	36
25081	lacie	3.15739699014763	22
25082	uncomplicated	3.1579570865353683	12
25083	tested	3.1604748055739664	48
25084	shutdown	3.1614371440386755	37
25085	motorola	3.161857111851504	62
25086	carring	3.1694461748242717	10
25087	zvm	3.1694461748242717	10
25088	wii	3.169446174824272	10
25089	saran	3.169446174824272	10
25090	conveniently	3.1697155110781097	49
25091	lint	3.1704514408569913	21
25092	finale	3.1711779066056733	19
25093	painless	3.1739290899557195	31
25094	timex	3.1739290899557204	15
25095	app	3.174596309279685	32
25096	categorize	3.174596309279685	32
25097	europe	3.1766051147828502	16
25098	blaze	3.1766051147828502	16
25099	roomy	3.1766051147828502	16
25100	configured	3.1766051147828502	16
25101	kensington	3.17762398679506	28
25102	involved	3.1780456024856605	23
25103	lx7	3.1780456024856614	23
25104	bi	3.182954726195589	13
25105	carolina	3.1829547261955904	13
25106	reversible	3.1829815576029814	17
25107	e200	3.1860497659045954	20
25108	outlast	3.1969442110604964	12
25109	avent	3.1975141762309898	43
25110	disconnect	3.2018149276533667	189
25111	humble	3.2028029861718577	21
25112	scanned	3.204558726675207	19
25113	iphone	3.2047537313677457	29
25114	intentionally	3.209511400530073	23
25115	task	3.211087424954421	27
25116	adult	3.2111494139666967	10
25117	v700	3.2111494139666967	10
25118	gracefully	3.21264354569904	14
25119	lg	3.213940618386064	70
25120	gladly	3.215393310350668	56
25121	nike	3.2161786007481585	26
25122	talented	3.2175791832291005	17
25123	bargain	3.2175791832291005	17
25124	rude	3.2175791832291005	17
25125	instrument	3.2188956397799013	20
25126	refused	3.2188956397799013	20
25127	thinner	3.2208470443645854	13
25128	firewire	3.2209093608308885	38
25129	workout	3.22118278792839	22
25130	path	3.22118278792839	22
25131	hardrive	3.22118278792839	22
25132	sunny	3.230051682429337	50
25133	earpiece	3.2313900967726923	40
25134	dolby	3.231636891591277	31
25135	manipulate	3.2323941060415837	30
25136	ground	3.2351545314867254	21
25137	pdfs	3.235931335585625	12
25138	didnt	3.2363879618537106	77
25139	francisco	3.2370188276697336	28
25140	tale	3.2370188276697336	28
25141	paint	3.2372480158897616	58
25142	ect	3.23793954674474	19
