	name	s
16410	anew	0.11162212531024944
22536	scrub	0.11162212531024944
2615	delayed	0.11162212531024944
21193	miami	0.11162212531024944
19081	unmute	0.11162212531024944
6246	fidget	0.11162212531024944
19966	fought	0.11162212531024944
7998	pant	0.11162212531024944
7366	capacious	0.18640048036788354
18795	harp	0.18640048036788354
18503	dependably	0.18640048036788354
17667	warrantied	0.18640048036788354
5527	pluged	0.18640048036788354
1928	synonymous	0.18640048036788354
26455	maze	0.18640048036788354
13459	prodcut	0.18640048036788354
9881	timeline	0.18640048036788354
7438	peachtree	0.21640425613334446
20289	dribble	0.2174672270958641
20323	submenu	0.2174672270958641
7129	assured	0.2174672270958641
17752	uneducated	0.2174672270958641
16121	profusely	0.2174672270958641
2189	faze	0.2174672270958641
22501	recreate	0.2174672270958641
11116	ooh	0.2174672270958641
10707	typo	0.2174672270958641
19495	evoke	0.2174672270958641
14595	autoscan	0.2174672270958641
7872	a4	0.2174672270958641
2034	win98se	0.2174672270958641
24900	symptom	0.2174672270958641
21697	navigable	0.2174672270958641
17057	exponentially	0.2174672270958641
10769	dawn	0.21746722709586414
12558	notified	0.21746722709586414
5654	rot	0.21746722709586414
21430	whoosh	0.21746722709586414
13682	loading	0.22156162384131306
8486	frequency	0.2280046029992071
1656	cruzer	0.2280046029992071
409	suffice	0.2526154544599675
11067	answered	0.2579011142109372
8922	ther	0.2579011142109372
7490	monaural	0.2730717679880512
27524	inward	0.2730717679880512
23518	wacom	0.2885390081777926
23552	dreadfully	0.2885390081777926
8710	stagger	0.2885390081777926
19614	assessment	0.2885390081777926
23678	reluctantly	0.3069276764301348
6759	ascertain	0.3106674672798059
3031	application	0.3106674672798059
17495	unwieldly	0.3106674672798059
2028	drawn	0.3106674672798059
18210	phono	0.3106674672798059
23140	misbehave	0.3106674672798059
20995	tepid	0.3106674672798059
11478	revolve	0.3106674672798059
12061	nullify	0.3106674672798059
10699	drowned	0.3106674672798059
26189	warned	0.3106674672798059
15932	nonresponsive	0.3106674672798059
13905	richness	0.3106674672798059
19248	stub	0.3106674672798059
12877	strudy	0.3106674672798059
12284	reinserted	0.3106674672798059
13255	zealous	0.3106674672798059
1943	waster	0.3106674672798059
16787	preamp	0.3106674672798059
20840	outputs	0.318583729319393
21978	e500	0.318583729319393
10830	unfortunatley	0.31858372931939305
15383	irritating	0.3219436835054756
9948	tempermental	0.3219436835054756
18852	supposed	0.3219436835054756
22670	tier	0.3248927043760666
7887	fairness	0.32489270437606665
9333	allowable	0.3366288428740914
14821	folly	0.3366288428740914
14979	crusty	0.3366288428740914
640	proactive	0.3366288428740914
6957	headband	0.3366288428740914
15179	cajole	0.3366288428740914
20370	yay	0.3366288428740914
2405	kludgy	0.3366288428740914
2372	ex51	0.3366288428740914
6650	enemy	0.3366288428740914
14453	intentioned	0.3366288428740914
26049	2006	0.3366288428740914
11196	offshore	0.3366288428740914
2799	appox	0.3366288428740914
12135	bleep	0.3366288428740914
26624	executed	0.3366288428740914
13116	freaking	0.3366288428740914
9950	salary	0.3366288428740914
8211	canned	0.3366288428740914
26760	qvc	0.3366288428740914
5123	woud	0.3366288428740914
14018	qa	0.3366288428740914
22298	abysmally	0.3366288428740914
1152	collectively	0.3366288428740914
1149	unflexible	0.3366288428740914
27141	spectacularly	0.3366288428740914
21866	valusoft	0.3366288428740914
18316	cascade	0.3366288428740914
21709	adaware	0.3366288428740914
21425	borne	0.3366288428740914
4880	popping	0.3366288428740914
22325	despise	0.3366288428740914
79	diappointed	0.3366288428740914
22987	ambidextrous	0.3366288428740914
17888	awry	0.3366288428740914
26193	uninteresting	0.3366288428740914
22805	reconize	0.33662884287409145
5237	earthmate	0.33662884287409145
7030	relay	0.33662884287409145
11462	devilish	0.33662884287409145
20189	spotter	0.33662884287409145
27970	transmitted	0.33662884287409145
16277	contantly	0.33662884287409145
3063	emboss	0.33662884287409145
22106	darker	0.33662884287409145
324	honk	0.33662884287409145
3189	armor	0.33662884287409145
7098	township	0.33662884287409145
16427	concurrent	0.33662884287409145
20079	overpass	0.33662884287409145
4010	reseller	0.33662884287409145
24955	barlow	0.33662884287409145
16561	rake	0.33662884287409145
2843	repacked	0.33662884287409145
15586	eve	0.33662884287409145
21652	underestimated	0.33662884287409145
5850	printable	0.33662884287409145
24554	aqua	0.33662884287409145
5217	glued	0.33662884287409145
24519	gratify	0.33662884287409145
4731	implied	0.33662884287409145
16835	wold	0.33662884287409145
13214	manuever	0.33662884287409145
17076	selling	0.33662884287409145
11167	lr44	0.33662884287409145
23959	committed	0.33662884287409145
4401	sucks	0.33662884287409145
13216	glitched	0.33662884287409145
6831	wd40	0.33662884287409145
15639	simultaniously	0.33662884287409145
22451	reachable	0.33662884287409145
3522	deplorable	0.33662884287409145
3494	negs	0.33662884287409145
22412	imbed	0.33662884287409145
10928	il	0.33662884287409145
20786	dormant	0.33662884287409145
20844	generated	0.33662884287409145
5955	ninth	0.33662884287409145
3916	conpared	0.33662884287409145
16218	kiddopotamus	0.33662884287409145
27973	easer	0.33662884287409145
11410	smitten	0.33662884287409145
5206	h120	0.33662884287409145
9676	mover	0.33662884287409145
15622	holmes	0.33662884287409145
10594	dms	0.33662884287409145
19907	dismount	0.33662884287409145
18830	leash	0.33662884287409145
2025	sweden	0.33662884287409145
25896	ahhhh	0.33662884287409145
18184	jabra	0.33662884287409145
25255	deformed	0.33662884287409145
14037	junky	0.33662884287409145
7815	flawed	0.33662884287409145
17732	lopsided	0.33662884287409145
18019	architecture	0.33662884287409145
13033	florescent	0.33662884287409145
1461	grammatical	0.33662884287409145
25499	meaningfully	0.33662884287409145
26700	strenght	0.33662884287409145
14530	psychological	0.33662884287409145
9221	distored	0.33662884287409145
7432	unremovable	0.33662884287409145
19318	occaisionally	0.33662884287409145
12107	crudely	0.33662884287409145
8008	travelling	0.33662884287409145
27391	ingeniously	0.33662884287409145
28250	junk	0.33662884287409145
27193	detective	0.33662884287409145
26211	imediately	0.33662884287409145
12179	retreive	0.33662884287409145
18448	nextar	0.33662884287409145
25952	solvable	0.33662884287409145
19023	bamboo	0.33662884287409145
25599	celestial	0.33662884287409145
8069	nighthawk	0.33662884287409145
14203	upwards	0.33662884287409145
8074	determined	0.33662884287409145
25162	peruse	0.33662884287409145
14075	avs	0.33662884287409145
4770	peddle	0.3366288428740915
16847	reseaching	0.3366288428740915
4540	idiots	0.3366288428740915
4866	flail	0.3366288428740915
3700	unhooked	0.3366288428740915
10988	notification	0.3366288428740915
13222	walt	0.3366288428740915
13908	untouchable	0.3366288428740915
19316	mis	0.3366288428740915
1636	mx700	0.3366288428740915
19899	tring	0.3366288428740915
1401	crookedly	0.3366288428740915
2654	gown	0.3366288428740915
